index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2,[ALL]_Q0.1
185,1993-03-01,9.71795,125.43605,0,0,0,0,0,4,79,9,0,0,0,0,0,0,0,14,78,0,0,0,4,63,24,1,0,5,61,20,6,7,24,49,10,0,0
190,1993-03-01,7.77233,124.64095,0,0,0,0,0,11,60,19,2,0,0,0,0,0,0,20,71,1,0,0,4,59,28,1,1,6,66,13,6,7,16,49,14,1,0
191,1993-03-01,7.52578,124.54375,0,0,0,0,0,17,68,7,0,0,0,0,0,0,0,28,64,0,0,0,3,62,27,0,1,5,68,14,4,10,12,52,14,0,0
209,1993-03-01,0.73941,121.95436,0,0,0,0,0,26,58,8,0,0,0,0,0,0,0,15,77,0,0,1,14,66,11,0,2,18,71,1,0,2,10,69,11,0,0
223,1993-03-01,1.07295,121.6813,0,0,0,0,0,17,74,1,0,0,0,0,0,0,0,18,71,3,0,1,13,65,13,0,2,16,73,1,0,3,9,67,13,0,0
225,1993-03-01,0.53362,121.51308,0,0,0,0,0,2,64,25,1,0,0,0,0,0,0,5,87,0,0,0,13,64,15,0,3,21,66,2,0,4,6,70,12,0,0
232,1993-03-01,0.69905,121.37634,0,0,0,0,0,14,70,8,0,0,0,0,0,0,0,3,89,0,0,0,10,70,12,0,3,23,64,2,0,3,7,70,12,0,0
242,1993-03-01,8.11756,123.73778,0,0,0,0,0,0,63,24,5,0,0,0,0,0,0,19,70,3,0,0,9,72,10,0,0,11,61,18,2,8,11,54,13,1,0
255,1993-03-01,9.75935,124.1752,0,0,0,0,2,34,56,0,0,0,0,0,0,0,0,11,80,1,0,0,5,57,30,0,0,2,49,28,12,7,18,51,13,2,0
260,1993-03-01,7.53473,123.31063,0,0,0,0,12,40,38,2,0,0,0,0,0,0,0,5,78,9,0,0,9,71,12,0,0,9,67,15,1,7,11,56,15,0,0
267,1993-03-01,11.85389,124.83087,0,0,0,0,0,2,81,8,1,0,0,0,0,0,0,16,73,3,0,0,4,66,22,0,0,4,41,33,12,3,23,60,5,0,0
269,1993-03-01,9.92453,124.03024,0,0,0,0,0,1,84,7,0,0,0,0,0,0,0,12,79,1,0,0,7,60,25,0,0,2,43,33,14,8,17,53,12,2,0
299,1993-03-01,35.26666,140.3828,0,92,0,0,0,11,70,11,0,0,0,0,0,0,0,14,74,4,0,0,18,57,17,0,0,13,70,9,0,0,30,56,6,0,1
303,1993-03-01,9.1843,123.11134,0,0,0,0,1,14,55,15,6,0,0,0,0,0,7,29,56,0,0,0,10,64,18,0,0,10,53,27,2,8,14,55,12,1,0
304,1993-03-01,7.93528,122.64238,0,0,0,0,1,37,54,0,0,0,0,0,0,0,0,14,72,6,0,0,12,56,24,0,0,10,69,13,0,5,14,56,12,2,0
330,1993-03-01,12.1935,123.88918,0,0,0,0,0,5,83,4,0,0,0,0,0,0,0,17,74,1,0,0,3,66,23,0,0,5,46,32,8,4,22,61,3,1,0
356,1993-03-01,10.65336,123.05347,0,0,0,0,0,19,71,2,0,0,0,0,0,0,0,5,87,0,0,0,5,65,22,0,0,0,44,40,8,3,17,54,16,2,0
358,1993-03-01,10.16098,122.86187,0,0,0,0,0,11,69,12,0,0,0,0,0,0,0,8,84,0,0,0,7,61,24,0,0,1,50,33,8,4,16,52,18,2,0
359,1993-03-01,9.91373,122.76681,0,0,0,0,0,17,62,11,2,0,0,0,0,0,0,8,84,0,0,0,4,59,29,0,0,3,50,31,8,5,15,55,16,1,0
383,1993-03-01,36.72474,140.16225,0,0,0,0,0,7,61,24,0,0,0,0,0,0,0,2,90,0,0,0,12,65,15,0,0,23,55,14,0,0,28,55,8,1,0
406,1993-03-01,37.40054,140.5853,0,92,0,0,0,10,78,4,0,0,0,0,0,0,0,0,80,8,4,1,11,66,14,0,1,16,63,12,0,0,27,56,8,1,1
419,1993-03-01,35.26069,138.12213,0,92,0,0,7,25,58,2,0,0,0,0,0,0,0,6,86,0,0,0,8,69,15,0,3,20,57,12,0,0,30,53,8,1,1
427,1993-03-01,11.37443,122.70316,0,0,0,0,0,6,85,1,0,0,0,0,0,0,0,20,63,9,0,1,4,60,27,0,0,2,41,36,13,3,19,57,12,1,0
428,1993-03-01,11.1289,122.60728,0,0,0,0,1,40,43,8,0,0,0,0,0,0,0,10,76,6,0,1,5,59,27,0,0,0,41,41,10,3,19,52,17,1,0
436,1993-03-01,37.11081,139.83795,0,87,5,0,0,0,39,3,0,0,0,0,0,0,0,0,80,12,0,0,12,64,16,0,1,14,65,12,0,0,27,56,8,1,1
442,1993-03-01,36.12289,138.69705,0,92,0,0,0,0,46,0,0,0,0,0,0,0,0,2,90,0,0,0,11,66,15,0,0,17,61,14,0,0,28,54,9,1,1
448,1993-03-01,35.10822,137.59471,0,92,0,0,6,10,53,11,12,0,0,0,0,0,0,6,86,0,0,0,10,67,14,1,3,20,57,12,0,0,30,53,8,1,1
455,1993-03-01,11.53144,122.5532,0,0,0,0,0,20,72,0,0,0,0,0,0,0,0,24,57,11,0,1,4,60,27,0,0,3,44,28,16,3,17,61,10,1,0
465,1993-03-01,37.78785,140.26003,0,91,1,0,0,15,19,7,8,0,0,0,0,0,0,0,80,8,4,0,13,68,11,0,1,16,66,9,0,0,27,56,9,0,1
468,1993-03-01,37.30291,139.67416,0,87,5,0,0,14,27,1,0,0,0,44,5,0,0,0,80,12,0,0,12,65,15,0,1,11,68,12,0,0,27,56,8,1,1
495,1993-03-01,1.00641,118.86716,0,0,0,0,1,14,76,1,0,0,0,0,0,0,0,12,74,5,1,1,14,54,23,0,0,11,80,1,0,2,6,77,7,0,0
505,1993-03-01,37.98058,140.0957,0,87,5,0,0,0,29,5,8,0,0,58,3,0,0,0,80,8,4,0,11,67,14,0,1,15,66,10,0,0,26,57,9,0,1
506,1993-03-01,37.81928,139.89909,0,89,3,0,0,5,22,5,10,0,0,0,0,0,0,0,80,11,1,0,11,66,15,0,0,17,65,10,0,0,27,57,8,0,1
521,1993-03-01,35.30959,137.08257,0,0,0,0,0,0,74,9,6,0,0,0,0,0,0,10,82,0,0,0,11,65,15,1,1,21,58,11,1,0,30,52,9,1,0
528,1993-03-01,33.90434,135.67802,0,92,0,0,0,14,52,24,2,0,0,0,0,0,0,10,76,5,1,0,13,62,17,0,2,19,58,13,0,0,29,54,9,0,1
538,1993-03-01,39.28292,141.34019,0,88,4,0,0,1,31,15,1,0,0,0,0,0,0,14,76,2,0,0,12,66,14,0,0,18,62,12,0,0,24,57,11,0,1
545,1993-03-01,38.17268,139.93024,0,86,6,0,0,4,20,2,0,0,0,0,0,0,0,6,74,8,4,0,12,66,14,0,0,19,63,10,0,0,25,59,8,0,1
547,1993-03-01,37.84848,139.53777,1,81,7,3,0,13,31,1,2,0,0,0,0,0,0,0,80,12,0,0,11,67,14,0,0,12,69,11,0,0,26,58,8,0,1
553,1993-03-01,36.85765,138.38739,0,86,6,0,0,0,40,1,0,0,0,0,0,0,0,2,90,0,0,0,13,66,13,0,0,18,63,10,1,0,27,55,9,1,1
564,1993-03-01,34.97226,136.38036,0,92,0,0,0,10,64,16,2,0,0,0,0,0,0,11,81,0,0,0,10,63,19,0,1,22,56,12,1,0,29,53,9,1,1
574,1993-03-01,1.03258,118.50776,0,0,0,0,1,45,46,0,0,0,0,0,0,0,0,19,70,2,1,1,14,54,23,0,0,7,81,3,1,1,6,76,8,0,0
577,1993-03-01,39.63329,141.38156,0,78,14,0,0,0,27,11,1,0,0,50,5,0,0,11,80,1,0,0,12,67,13,0,0,17,62,13,0,0,21,60,11,0,1
584,1993-03-01,38.52555,139.96179,0,82,10,0,0,3,8,0,5,0,0,0,0,0,0,22,63,6,1,0,13,65,14,0,0,18,64,10,0,0,25,58,9,0,1
586,1993-03-01,38.20203,139.56665,2,70,15,5,1,19,39,15,6,0,0,7,0,0,0,37,50,5,0,0,12,65,15,0,0,19,63,10,0,0,25,59,8,0,1
596,1993-03-01,36.53906,137.65889,0,89,3,0,0,0,7,14,7,0,0,0,0,0,0,2,79,11,0,0,10,68,14,0,1,21,60,9,1,0,28,54,9,1,1
617,1993-03-01,39.98313,141.42348,0,77,15,0,0,0,38,0,0,0,0,78,3,0,0,3,89,0,0,0,12,66,14,0,0,21,59,12,0,0,19,61,12,0,1
635,1993-03-01,35.51472,136.21887,0,90,0,2,0,15,45,28,4,0,0,0,0,0,0,2,85,5,0,0,12,64,16,0,2,17,61,11,1,0,28,54,9,1,1
648,1993-03-01,40.1773,141.25661,0,75,16,1,0,0,42,0,0,0,0,38,1,0,0,5,87,0,0,0,13,64,15,0,0,20,60,12,0,0,18,62,12,0,1
661,1993-03-01,35.87294,136.22633,0,87,1,4,0,17,35,8,2,0,0,0,0,0,0,3,81,8,0,0,13,65,14,0,1,19,60,11,1,0,28,53,10,1,1
670,1993-03-01,33.90434,134.32198,0,90,0,2,0,9,76,7,0,0,0,0,0,0,1,10,81,0,0,0,10,58,24,0,2,19,56,15,0,0,28,54,9,1,1
681,1993-03-01,43.18458,145.2869,0,0,0,0,0,14,73,5,0,0,0,25,12,2,0,20,62,10,0,0,14,63,15,0,1,12,67,12,0,0,22,58,12,0,0
682,1993-03-01,40.52645,141.29813,3,73,15,1,0,0,52,5,0,0,0,0,0,0,0,10,82,0,0,0,13,66,13,0,1,18,60,13,0,0,18,62,12,0,1
683,1993-03-01,40.37086,141.08853,0,77,15,0,0,4,38,0,0,0,0,0,0,0,0,7,85,0,0,0,13,62,17,0,0,20,61,11,0,0,18,63,11,0,1
685,1993-03-01,40.05725,140.67302,0,75,17,0,0,0,12,24,4,0,0,0,0,0,0,16,69,7,0,0,12,60,20,0,0,11,70,11,0,0,18,62,12,0,1
700,1993-03-01,34.26524,134.31793,0,0,0,0,0,10,68,12,2,0,0,0,0,0,1,10,81,0,0,0,8,58,25,1,3,20,53,16,0,0,28,53,10,1,0
713,1993-03-01,46.00672,150.06848,0,0,0,0,2,15,62,13,0,0,0,0,0,0,0,1,91,0,0,0,17,55,20,0,0,0,92,0,0,0,12,69,11,0,0
724,1993-03-01,40.40696,140.71059,0,77,15,0,0,0,34,0,4,0,0,77,3,0,0,9,74,9,0,0,13,61,18,0,0,19,62,11,0,0,18,63,11,0,1
727,1993-03-01,39.93164,140.09212,0,0,0,0,2,22,52,10,6,0,0,0,0,0,0,6,67,8,10,0,15,58,19,0,0,11,70,11,0,0,18,63,11,0,0
740,1993-03-01,33.52048,133.31532,0,92,0,0,0,38,54,0,0,0,0,0,0,0,0,17,75,0,0,0,16,54,22,0,2,22,55,13,0,2,27,53,9,1,1
742,1993-03-01,33.1468,132.99045,0,90,0,2,0,2,69,16,5,0,0,0,0,0,0,14,75,3,0,0,16,56,20,0,2,21,58,11,0,2,26,53,11,0,1
758,1993-03-01,0.93855,117.5714,0,0,0,0,1,17,61,10,3,0,0,0,0,0,0,37,55,0,0,0,10,70,12,0,1,6,68,15,2,1,2,71,17,0,0
762,1993-03-01,52.17063,-174.4278,0,0,0,0,0,2,62,27,1,0,0,0,0,0,0,7,53,12,12,0,19,58,15,0,0,2,77,13,0,0,15,70,7,0,0
774,1993-03-01,42.43258,143.1301,2,69,20,1,0,10,67,3,12,0,0,58,0,0,0,18,66,8,0,0,14,60,18,0,0,20,63,9,0,0,18,62,12,0,1
784,1993-03-01,35.16678,134.48071,0,92,0,0,11,14,67,0,0,0,0,0,0,0,9,0,80,3,0,0,12,61,19,0,1,20,57,13,1,0,27,54,10,1,1
785,1993-03-01,34.98525,134.30972,0,92,0,0,0,4,74,14,0,0,0,0,0,0,8,2,81,1,0,0,11,59,21,1,2,20,53,16,1,0,27,54,10,1,1
810,1993-03-01,1.64342,117.57775,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,35,57,0,0,0,9,66,17,0,0,12,61,13,6,1,7,66,16,0,0
823,1993-03-01,42.92421,143.41234,0,69,23,0,0,4,44,6,1,0,0,48,0,0,0,10,82,0,0,0,13,62,17,0,0,27,53,12,0,0,20,60,12,0,1
828,1993-03-01,41.26096,140.9989,0,0,0,0,0,15,77,0,0,0,0,0,0,0,0,42,40,9,1,0,13,64,15,0,0,5,74,13,0,0,18,62,12,0,0
840,1993-03-01,33.87015,132.96669,0,92,0,0,0,1,74,16,1,0,0,0,0,0,0,15,77,0,0,0,13,57,22,0,3,22,53,14,0,1,27,52,11,1,1
859,1993-03-01,5.073,118.35729,0,0,0,0,3,24,45,15,5,0,0,0,0,0,0,25,67,0,0,0,10,65,16,1,0,13,68,9,2,6,11,64,9,1,0
863,1993-03-01,2.06671,117.509,0,0,0,0,0,2,89,0,0,0,0,0,0,0,0,30,62,0,0,0,8,66,18,0,1,7,65,15,4,1,9,64,16,0,0
867,1993-03-01,0.94875,117.21203,0,0,0,0,0,0,58,4,7,0,0,0,0,0,0,40,52,0,0,1,6,73,12,0,0,7,69,14,2,0,3,72,15,0,0
881,1993-03-01,41.13896,140.40379,0,0,0,0,0,0,77,15,0,0,0,0,0,0,0,13,63,16,0,0,13,62,17,0,0,8,71,13,0,0,18,66,8,0,0
890,1993-03-01,32.90825,131.82942,0,91,1,0,2,15,54,20,1,0,0,0,0,0,0,11,81,0,0,0,10,57,25,0,3,20,54,15,0,1,27,50,14,0,1
893,1993-03-01,32.3317,131.36182,0,91,0,1,2,41,45,4,0,0,0,0,0,0,0,14,78,0,0,0,9,63,20,0,2,19,60,11,0,1,27,51,13,0,1
895,1993-03-01,31.94414,131.05481,0,92,0,0,0,10,82,0,0,0,0,0,0,0,0,17,75,0,0,0,12,63,17,0,3,20,62,7,0,1,28,51,12,0,1
901,1993-03-01,16.3591,122.125,0,0,0,0,0,36,55,1,0,0,0,0,0,0,0,22,70,0,0,1,9,62,20,0,6,18,51,15,2,3,23,60,6,0,0
905,1993-03-01,14.18683,121.24693,0,0,0,0,3,22,65,2,0,0,0,0,0,0,0,36,56,0,0,3,11,55,23,0,0,2,51,26,13,4,19,60,8,0,0
910,1993-03-01,12.95731,120.77753,0,0,0,0,1,17,74,0,0,0,0,0,0,0,2,14,76,0,0,0,6,71,15,0,1,5,47,27,12,5,16,67,3,0,0
914,1993-03-01,4.94835,118.13134,0,0,0,0,1,12,72,5,2,0,0,0,0,0,0,23,69,0,0,0,7,66,17,2,0,11,70,9,2,7,8,65,10,1,0
923,1993-03-01,1.09291,117.06889,0,0,0,0,0,0,48,1,0,0,0,0,0,0,0,39,53,0,0,1,6,69,16,0,2,5,70,12,3,0,4,74,12,0,0
939,1993-03-01,35.14726,133.44249,0,92,0,0,0,41,44,0,0,0,0,0,0,0,0,12,80,0,0,0,14,59,19,0,2,20,56,13,1,0,27,54,10,1,1
947,1993-03-01,32.69456,131.34071,0,88,1,3,0,28,53,10,1,0,0,0,0,0,0,14,78,0,0,0,7,63,22,0,3,19,56,14,0,1,27,51,13,0,1
953,1993-03-01,31.52595,130.42607,0,0,0,0,0,10,35,33,13,0,0,0,0,0,0,14,78,0,0,0,12,69,11,0,2,16,69,5,0,1,27,50,14,0,0
954,1993-03-01,31.32897,130.27689,0,0,0,0,0,0,49,35,8,0,0,0,0,0,0,12,80,0,0,0,12,67,13,0,2,15,70,5,0,1,27,52,12,0,0
971,1993-03-01,4.82195,117.90593,0,0,0,0,0,1,73,17,1,0,0,0,0,0,0,27,65,0,0,0,10,61,19,2,0,10,71,9,2,7,6,66,11,1,0
972,1993-03-01,4.55096,117.82818,0,0,0,0,0,12,67,11,2,0,0,0,0,0,0,29,63,0,0,0,17,54,21,0,0,10,69,12,1,6,8,65,11,1,0
976,1993-03-01,3.45911,117.52112,0,0,0,0,2,43,45,1,1,0,0,0,0,0,1,36,55,0,0,0,14,56,22,0,0,9,75,6,2,3,12,65,10,1,0
983,1993-03-01,1.23618,116.9254,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,37,55,0,0,2,7,65,18,0,2,3,74,9,4,1,3,76,10,0,0
1001,1993-03-01,41.51928,140.05383,0,0,0,0,0,0,41,37,13,0,0,0,0,0,0,14,68,10,0,0,14,59,19,0,0,8,68,16,0,0,17,67,8,0,0
1003,1993-03-01,35.13641,133.09662,0,92,0,0,0,18,74,0,0,0,0,0,0,0,0,7,84,1,0,0,14,59,19,0,2,20,58,11,1,0,27,54,10,1,1
1026,1993-03-01,15.69651,121.41187,0,0,0,0,0,4,65,10,11,0,0,0,0,0,0,22,70,0,0,0,7,62,23,0,0,5,54,23,10,1,20,65,5,1,0
1027,1993-03-01,15.45481,121.31487,0,0,0,0,0,0,73,12,7,0,0,0,0,0,0,19,73,0,0,0,8,65,19,0,0,1,56,25,10,1,19,66,5,1,0
1036,1993-03-01,11.7515,119.92213,0,0,0,0,0,3,76,13,0,0,0,0,0,0,0,9,81,1,1,2,2,78,10,0,2,23,60,7,0,6,16,66,3,0,0
1039,1993-03-01,5.77328,117.99339,0,0,0,0,0,8,81,3,0,0,0,0,0,0,0,27,65,0,0,0,10,60,22,0,0,12,66,10,4,7,9,65,9,0,0
1054,1993-03-01,1.65939,116.85442,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,27,65,0,0,2,7,64,19,0,0,5,70,12,5,1,4,75,10,0,0
1063,1993-03-01,43.70929,142.72864,5,60,27,0,0,1,8,2,0,0,0,0,0,0,0,2,81,9,0,0,13,64,15,0,0,20,61,11,0,0,19,63,10,0,1
1075,1993-03-01,35.12339,132.75087,0,91,1,0,0,1,79,12,0,0,0,0,0,0,0,15,76,1,0,0,13,58,21,0,2,20,58,11,1,0,26,54,11,1,1
1090,1993-03-01,17.99212,122.14766,0,0,0,0,4,24,63,1,0,0,0,0,0,0,1,26,65,0,0,0,13,57,22,0,5,22,54,11,0,8,14,63,7,0,0
1094,1993-03-01,17.04343,121.74413,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,30,62,0,0,0,6,65,21,0,0,12,61,18,1,5,15,67,5,0,0
1098,1993-03-01,16.08475,121.34958,0,0,0,0,0,13,74,3,2,0,0,0,0,0,0,25,67,0,0,0,8,67,17,0,0,13,56,14,9,2,17,67,6,0,0
1100,1993-03-01,15.60164,121.15559,0,0,0,0,0,20,72,0,0,0,0,0,0,0,0,16,76,0,0,0,8,68,16,0,0,2,57,22,11,1,18,67,5,1,0
1105,1993-03-01,10.88268,119.4156,0,0,0,0,0,7,65,17,3,0,0,0,0,0,0,13,70,4,4,0,11,62,19,0,3,23,62,4,0,5,18,64,4,0,0
1112,1993-03-01,5.10684,117.61075,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,29,63,0,0,0,6,65,20,1,1,7,70,10,4,6,8,63,13,0,0
1118,1993-03-01,3.46844,117.15343,0,0,0,0,0,25,67,0,0,0,0,0,0,0,0,17,75,0,0,1,15,55,21,0,0,7,74,10,1,3,10,66,11,1,0
1122,1993-03-01,2.36007,116.85626,0,0,0,0,0,0,16,6,12,0,0,0,0,0,0,33,59,0,0,0,4,72,16,0,0,2,70,17,2,2,4,72,13,0,0
1131,1993-03-01,44.34706,143.24632,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,2,54,17,10,0,14,60,18,0,0,12,70,10,0,0,19,63,10,0,0
1137,1993-03-01,43.45339,141.87482,4,64,24,0,0,7,7,8,0,0,0,62,0,0,8,17,67,0,0,0,13,59,20,0,0,17,62,13,0,0,19,63,10,0,1
1158,1993-03-01,17.90355,121.88356,0,0,0,0,0,9,83,0,0,0,0,0,0,0,1,28,63,0,0,0,15,57,20,0,1,19,58,13,1,6,16,63,7,0,0
1162,1993-03-01,16.95161,121.48343,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,34,58,0,0,0,8,61,23,0,0,12,61,18,1,3,17,65,7,0,0
1169,1993-03-01,15.26165,120.80451,0,0,0,0,2,13,75,2,0,0,0,0,0,0,0,16,76,0,0,0,6,70,15,1,0,1,62,20,9,2,17,68,5,0,0
1180,1993-03-01,4.15869,117.15723,0,0,0,0,0,9,79,4,0,0,0,0,0,0,0,34,58,0,0,1,15,56,19,1,0,7,73,11,1,4,9,66,11,1,0
1186,1993-03-01,2.50078,116.71084,0,0,0,0,0,0,41,7,7,0,0,0,0,0,0,26,66,0,0,0,8,65,19,0,0,4,67,18,3,2,4,74,11,0,0
1187,1993-03-01,2.2216,116.63776,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,24,68,0,0,0,5,69,18,0,0,2,68,19,2,2,3,74,12,0,0
1211,1993-03-01,42.40375,139.94408,14,56,21,1,1,19,66,5,1,0,0,0,0,0,9,22,60,1,0,0,14,58,20,0,0,12,64,16,0,0,18,66,8,0,1
1214,1993-03-01,34.13977,131.25385,0,92,0,0,0,0,52,25,15,0,0,0,0,0,0,11,81,0,0,0,15,61,16,0,2,20,54,16,0,1,25,53,12,1,1
1226,1993-03-01,16.85798,121.2233,0,0,0,0,0,2,83,7,0,0,0,0,0,0,2,30,60,0,0,0,9,62,21,0,0,11,59,20,2,3,17,65,7,0,0
1245,1993-03-01,4.84509,117.16109,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,30,62,0,0,2,11,62,16,1,0,7,72,11,2,5,9,64,12,0,0
1251,1993-03-01,3.19657,116.71178,0,0,0,0,0,0,36,14,0,0,0,0,0,0,0,12,80,0,0,0,9,66,17,0,0,7,71,12,2,1,6,71,12,1,0
1263,1993-03-01,53.43754,-168.05582,0,0,0,0,4,27,61,0,0,0,0,0,0,0,0,1,61,21,6,0,20,57,15,0,0,0,86,6,0,0,6,74,12,0,0
1277,1993-03-01,33.14309,130.13904,0,0,0,0,0,4,46,39,3,0,0,0,0,0,0,11,81,0,0,0,16,58,18,0,3,18,53,18,0,1,25,53,12,1,0
1282,1993-03-01,17.72096,121.35709,0,0,0,0,0,14,77,1,0,0,0,0,0,0,1,27,64,0,0,0,10,61,21,0,0,9,66,16,1,5,15,64,8,0,0
1283,1993-03-01,17.48228,121.25791,0,0,0,0,0,24,54,14,0,0,0,0,0,0,1,26,65,0,0,0,7,64,21,0,0,7,69,14,2,3,15,66,8,0,0
1291,1993-03-01,15.55053,120.48444,0,0,0,0,0,0,85,7,0,0,0,0,0,0,0,16,76,0,0,0,12,63,17,0,0,1,68,19,4,3,15,69,5,0,0
1294,1993-03-01,14.81576,120.20324,0,0,0,0,0,23,69,0,0,0,0,0,0,0,0,5,87,0,0,0,5,73,14,0,0,1,60,22,9,5,13,70,4,0,0
1301,1993-03-01,5.52774,117.16499,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,27,65,0,0,0,11,65,15,1,0,9,72,9,2,6,11,58,15,0,0
1307,1993-03-01,3.88839,116.71272,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,17,75,0,0,1,16,57,18,0,1,6,74,10,1,1,10,65,14,1,0
1312,1993-03-01,2.50034,116.34637,0,0,0,0,0,0,22,0,4,0,0,0,0,0,0,14,78,0,0,1,8,61,22,0,0,3,69,16,3,2,6,74,9,0,0
1313,1993-03-01,2.22026,116.27422,0,0,0,0,0,0,15,11,3,0,0,0,0,0,0,18,74,0,0,1,4,69,17,1,0,1,71,16,3,2,8,74,7,0,0
1321,1993-03-01,53.51503,-166.92442,0,0,0,0,4,14,66,5,0,0,0,0,0,0,0,2,67,18,3,0,19,57,16,0,0,0,85,7,0,0,5,74,12,1,0
